pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
47282676,0,0,1,1,1,0,1,0
47302694,3,3,2,1,0,3,2,1
47302738,0,0,0,2,0,1,2,0
47322694,0,0,0,2,0,1,2,0
47322744,4,3,1,2,1,0,2,0
47342710,3,3,1,1,0,0,1,0
47362636,0,0,0,1,1,0,1,0
47382700,3,3,0,0,0,0,1,0
47402702,0,0,0,1,1,0,1,0
47402716,0,0,1,2,0,1,2,0
47422704,1,1,2,1,1,1,2,1
47442660,2,3,0,0,1,0,0,0
47442674,3,3,1,0,1,1,1,1
47442702,2,2,1,0,1,0,1,0
47462636,1,1,0,1,1,0,1,0
47462692,1,1,0,0,1,0,0,0
47462712,2,2,2,1,0,1,2,0
47462736,2,2,1,1,1,1,2,0
47462746,0,0,0,2,1,0,2,0
47482734,3,3,2,3,1,0,3,0
47482742,1,0,2,3,0,1,3,1
47502700,2,2,1,0,1,1,1,0
47522704,2,1,1,0,1,0,1,0
47522710,0,0,0,2,1,1,2,0
47522738,3,3,0,0,0,0,1,0
47542736,0,0,1,3,1,1,3,1
47562650,2,2,0,0,1,0,0,0
47562664,3,2,1,0,1,0,1,0
47562696,2,2,2,1,1,1,1,0
47562706,0,0,1,2,0,0,2,0
47562710,0,0,1,2,0,1,2,0
47562732,1,0,1,1,1,1,2,0
47582644,2,2,0,0,1,0,0,0
47582730,3,3,2,1,2,1,2,0
47622700,2,2,1,1,1,0,1,0
47622718,2,2,0,0,1,0,1,0
47642668,2,2,1,0,1,3,0,1
47642682,3,3,1,0,1,1,0,0
47642704,3,3,2,1,0,0,1,0
47642728,0,0,1,2,1,1,3,1
47662652,3,4,1,0,0,1,1,0
47662698,2,2,0,0,1,2,0,1
47682646,2,3,0,0,1,2,1,1
47682690,0,0,0,1,0,0,1,0
47702678,2,2,1,0,1,1,0,0
47702714,1,1,0,1,1,0,1,0
47702722,0,0,1,1,0,1,1,0
47722698,1,1,3,0,0,2,1,1
47742642,3,2,0,0,1,1,0,0
47742660,1,1,0,0,1,0,0,0
47742674,0,0,0,0,0,0,0,0
47742710,3,3,1,0,1,0,0,0
47742728,0,0,0,2,0,0,1,0
47762666,4,4,0,0,0,0,0,0
47782686,3,3,1,0,1,2,0,1
47802696,0,0,0,1,1,0,1,0
47842680,2,2,0,0,1,2,0,0
47842688,1,1,1,0,1,0,1,0
27182008,3,3,0,0,0,0,0,1
27361846,4,4,0,0,0,0,0,1
27461842,3,3,0,0,2,2,0,0
27842206,0,0,0,1,2,0,1,0
28322234,1,1,0,1,2,0,1,0
28382160,1,0,0,0,2,1,0,0
28502212,1,1,0,1,2,0,0,0
28661894,2,2,0,0,0,0,0,0
28722000,1,2,0,0,0,0,0,0
45542782,0,0,0,1,0,2,1,0
45542800,3,4,1,0,0,1,0,0
45602780,0,0,1,3,0,2,3,1
45642800,3,3,1,0,0,2,0,0
45682752,1,1,1,1,1,0,1,0
45682788,0,0,1,3,0,1,3,0
45702780,0,0,1,2,1,2,2,0
45722786,2,2,0,1,1,0,1,0
45742754,1,1,0,1,0,0,1,0
45762794,1,1,1,0,1,2,0,0
45782760,3,3,1,3,1,2,4,2
45822828,0,0,1,3,1,1,3,0
45822832,4,4,0,0,0,1,0,0
45842754,2,2,0,0,0,0,1,0
45842800,3,3,0,0,0,1,0,0
45842808,2,2,1,0,1,0,0,0
45902738,0,0,1,4,1,2,4,1
45902768,3,3,2,0,0,2,1,2
45922802,4,4,1,0,0,1,1,0
45962734,3,4,1,1,1,0,0,1
45962820,1,2,0,1,1,0,1,1
45982782,0,0,0,2,1,1,2,0
46002792,3,3,2,1,0,0,1,0
46042842,1,1,0,0,1,0,0,0
46082830,2,2,1,0,1,2,0,1
46102852,1,0,1,1,1,1,1,0
46142788,3,3,1,0,0,2,0,1
46182828,1,1,0,0,1,0,1,0
46202782,4,4,1,0,0,1,0,0
46202812,4,4,1,0,0,1,0,0
46222770,2,2,0,0,1,1,0,0
46222796,3,3,2,0,0,2,1,0
46242762,3,3,1,0,0,0,1,1
46262776,4,4,0,0,0,1,0,0
46262786,0,0,0,1,0,1,1,0
46322834,2,2,0,0,1,0,1,1
46342786,2,3,0,0,1,2,0,0
46382834,2,2,0,0,0,0,1,1
46422762,4,4,2,2,1,0,2,0
46462834,1,2,0,1,1,0,1,0
46482830,2,2,0,0,1,0,1,0
46502766,3,3,1,1,0,0,1,0
46522836,2,2,0,1,1,0,2,1
46562812,2,2,1,0,1,0,1,0
46582774,3,3,0,1,0,0,1,0
46602762,2,2,0,1,0,0,1,1
46642772,2,2,0,1,1,0,1,1
46642802,3,3,1,1,0,3,1,2
46682824,0,0,0,2,0,1,2,0
46742758,2,1,1,0,1,0,1,0
46822808,0,0,1,1,1,2,2,1
46902810,3,3,0,0,1,1,0,0
45102682,2,2,0,0,0,0,0,0
45102684,1,1,1,1,1,1,2,0
45102688,1,1,1,1,1,1,1,0
45122688,2,1,1,1,1,1,1,0
45182728,2,2,0,1,0,0,1,1
45222700,0,0,1,3,0,1,3,1
45242698,0,0,0,3,0,2,3,1
45242722,1,1,1,3,0,1,3,0
45282706,1,1,1,1,1,1,2,0
45342706,2,2,0,0,1,0,1,0
45402772,3,3,1,1,0,1,2,0
45442740,3,3,2,2,0,0,2,0
45442766,0,0,0,1,1,0,1,0
45462760,1,2,0,0,1,1,1,0
45462768,2,2,1,0,1,0,1,0
45482700,0,0,1,1,0,1,1,0
45482768,2,1,1,0,1,1,1,0
45502692,1,1,2,1,1,1,1,0
45502702,1,1,0,0,1,0,0,0
45522750,3,3,1,1,0,1,2,1
45542694,1,1,2,1,1,0,1,0
45562730,2,2,2,1,0,0,2,0
45562732,4,3,1,1,2,0,2,0
45582678,1,1,1,2,1,2,2,1
45582696,4,4,1,1,1,2,1,0
45602672,0,0,1,1,0,2,1,0
45602698,0,0,1,1,1,1,1,0
45602738,1,2,0,1,0,0,2,1
45622768,0,0,1,1,1,0,1,0
45642688,0,0,2,1,1,1,2,1
45642724,3,4,1,1,2,0,1,0
45642750,4,4,1,1,1,0,1,0
45662730,2,2,2,3,0,1,3,1
45782694,2,1,2,1,1,2,2,1
45802718,0,0,0,1,0,0,1,0
45842740,2,2,0,1,0,0,1,0
45882676,1,1,0,2,1,0,2,0
45922694,3,2,2,1,1,1,1,0
46082678,0,0,0,2,1,1,1,0
46122668,1,1,2,2,0,1,2,3
46122678,0,0,0,2,0,0,2,0
43482670,0,1,0,2,0,1,2,0
43562686,2,2,2,3,0,1,3,1
43662688,3,3,1,2,3,0,2,1
43702704,3,3,1,2,0,0,2,1
43782660,0,0,0,1,1,1,1,0
43782700,1,1,0,1,0,0,1,0
43802684,4,3,2,2,1,1,3,0
43802702,3,3,2,2,1,0,2,0
43862700,3,3,2,2,0,1,2,0
43902682,1,1,0,1,0,0,1,0
43962686,4,4,1,1,0,0,1,0
44042690,4,4,1,1,1,0,1,0
44082690,1,1,0,2,1,0,2,0
44102696,3,3,1,2,1,0,1,0
44142686,3,3,2,3,0,1,3,1
44222668,3,3,1,1,0,2,2,0
44282656,3,3,2,3,0,1,4,1
44302680,1,1,1,1,0,1,2,0
44302682,3,2,1,1,1,0,2,0
44382670,3,3,2,1,0,0,2,0
44382684,3,3,2,2,0,2,2,0
44382686,0,0,1,1,1,0,2,0
44402664,1,1,0,1,0,0,1,0
44502714,3,3,2,3,3,1,3,1
44562702,1,1,2,4,0,2,4,1
44582712,3,3,0,1,0,0,1,0
44622708,3,3,1,1,0,0,1,0
44662698,0,0,0,1,0,0,1,0
44782720,2,2,1,2,0,0,2,0
44822704,0,0,1,1,0,0,1,0
44862710,1,1,1,0,1,0,1,0
44862714,1,2,0,1,1,1,1,0
44862732,3,3,2,1,0,1,2,0
44882726,2,2,1,1,1,0,2,0
44922728,2,2,1,1,1,0,2,0
44962698,2,1,2,3,0,1,2,0
45002638,2,2,1,1,1,1,1,1
45102712,1,1,1,1,1,1,2,0
45182714,3,3,2,2,0,0,2,0
45202708,0,1,1,4,0,3,4,2
45242636,1,0,1,2,1,0,1,0
45362638,4,4,1,0,0,0,0,0
42882682,3,3,1,1,1,0,1,0
42942690,2,2,1,1,0,2,2,0
42982676,3,3,1,1,2,1,1,0
43002704,4,4,1,0,2,0,1,0
43122702,1,1,0,0,1,0,1,0
43122714,3,3,1,1,0,0,1,0
43162706,1,1,0,1,1,0,1,0
43202710,0,0,0,1,1,0,1,0
43322692,0,0,0,2,0,1,2,0
43362694,2,2,0,1,1,0,1,0
39303122,3,3,2,1,0,4,1,2
39443132,2,2,0,0,1,2,0,1
39443158,2,2,0,0,1,2,0,0
39543124,0,0,0,0,1,1,0,0
39543150,0,0,0,1,0,1,1,0
39623132,0,0,1,3,0,4,3,0
39683136,0,0,0,0,0,3,0,0
39743134,1,2,0,0,1,2,0,0
39743148,0,0,0,1,0,2,1,0
39783128,1,1,1,0,1,1,1,0
39803126,1,1,0,0,0,1,0,0
39843144,2,3,0,0,1,3,0,0
39883092,3,3,0,0,1,2,0,0
39883120,2,2,0,0,1,3,1,0
39903096,3,3,1,1,0,3,1,0
39943122,0,0,0,1,0,0,0,0
39963136,1,1,1,0,1,3,0,0
40003082,3,3,1,0,0,3,0,1
40083088,3,3,1,0,1,2,0,1
40163108,0,0,0,0,0,1,0,0
40163114,0,0,0,1,0,1,1,0
38583130,3,3,1,1,2,3,2,2
38663098,3,3,1,1,0,3,1,0
38683122,3,3,0,0,2,3,0,1
38703124,2,2,0,0,2,3,0,0
38743106,3,3,1,0,2,3,0,1
38743146,3,3,0,0,2,3,0,0
38763094,3,3,0,0,2,1,0,0
38803102,3,3,0,0,2,3,0,1
38803134,2,2,0,0,2,2,0,0
38883110,3,3,0,0,2,2,0,0
38883118,1,1,0,0,2,2,0,0
38903114,2,2,0,0,2,2,1,0
38943130,2,2,0,0,2,3,0,0
38983092,2,2,0,0,2,1,0,1
38983116,3,3,0,0,2,3,0,0
39063124,2,2,0,0,2,3,0,0
39123144,2,2,0,1,2,3,1,1
39023088,3,3,1,0,0,1,0,1
39083090,3,3,0,0,2,2,0,0
39123108,2,2,1,0,2,2,0,1
39183118,2,2,1,0,2,2,0,1
39203112,2,2,0,0,2,1,0,0
39263086,0,0,0,1,0,2,0,0
39303086,0,0,0,1,0,0,1,0
39423106,2,3,0,0,1,1,0,0
39563098,3,3,0,0,0,3,0,0
39563112,1,1,0,0,1,2,1,0
39623104,1,1,0,1,0,0,1,1
39703092,3,3,0,0,0,2,0,1
39743088,3,3,0,0,1,3,0,1
39743098,3,3,0,0,1,3,0,1
39803096,3,3,1,0,0,3,1,2
38043130,4,4,0,0,0,1,0,0
38083120,3,3,0,0,2,3,0,1
38083128,3,4,0,0,0,3,0,1
38103106,3,3,0,0,2,1,0,0
38143104,3,3,0,0,2,1,0,0
38183132,3,3,1,1,2,3,1,1
38203100,3,3,1,0,2,1,0,1
38203142,4,4,0,0,0,1,1,2
38223144,4,4,1,0,2,1,0,1
38263134,2,2,0,0,2,2,0,0
38383124,3,3,0,0,2,3,0,0
38403112,3,3,1,0,2,3,0,1
38443098,1,2,0,0,0,2,0,0
38463096,3,3,0,0,0,2,0,0
38463106,3,3,0,0,2,3,0,1
38483116,3,3,1,0,0,3,0,0
38483134,0,0,0,1,0,1,1,0
38523118,3,3,1,1,0,2,1,1
38523136,3,3,0,0,2,2,0,0
38543096,2,2,0,0,2,2,0,1
38543122,3,3,0,0,2,3,0,1
39123076,2,2,0,0,0,1,1,0
39223078,3,3,1,0,1,2,0,1
39583078,4,4,0,0,0,2,0,1
39603074,3,3,0,0,1,2,0,0
38283100,2,2,0,0,2,3,0,0
38563082,3,3,1,0,2,2,0,0
38583072,4,4,2,0,0,1,0,1
38583090,4,4,0,0,0,2,0,1
38603088,4,4,0,0,0,3,0,1
38723078,3,3,0,0,2,1,0,0
38843066,3,3,0,0,2,2,0,1
38863068,3,3,0,0,2,2,0,1
38943054,1,1,0,0,2,0,0,0
39003046,4,4,0,0,2,2,0,1
39063046,3,3,0,0,2,2,0,1
39083042,3,3,0,0,2,1,0,0
39263060,2,2,0,0,1,1,0,0
39283056,3,3,0,0,1,2,0,0
39303054,3,3,0,0,1,3,0,1
39763078,3,3,0,0,0,0,0,0
39783064,4,4,1,0,1,1,0,1
39883048,3,3,1,0,0,3,0,2
39943050,3,4,0,0,0,2,0,1
40103044,0,0,0,0,0,0,1,0
40203058,0,0,0,1,0,0,1,0
40243026,0,0,0,2,1,1,2,0
40363052,2,2,0,1,1,0,2,0
40383036,2,2,0,1,1,3,1,0
40423056,0,0,0,1,0,0,2,0
40603038,1,1,1,2,0,0,2,0
39622978,0,0,1,2,1,1,2,1
39663000,2,2,1,0,1,2,1,1
39702984,1,1,1,1,1,2,1,0
39862992,0,0,0,2,0,1,1,0
40043010,2,2,0,0,1,2,1,0
40062984,2,2,0,1,1,3,1,0
40082970,0,0,0,1,0,0,1,0
40163006,3,3,0,0,0,2,1,0
40203018,0,0,0,1,0,0,1,0
39303032,4,4,1,0,0,1,0,0
39363034,0,0,0,1,0,0,1,0
39383058,3,3,0,0,0,2,0,1
39443068,2,2,1,0,1,2,0,0
39483040,3,3,0,0,1,1,0,1
39483050,3,3,1,0,1,2,0,0
39523026,3,3,1,0,1,2,0,1
39523056,4,4,0,0,0,2,0,1
39583032,2,2,0,1,0,0,1,0
39602980,0,0,0,2,1,0,2,0
39642992,1,1,0,1,1,0,2,0
39663018,1,2,0,0,1,0,0,0
39663058,4,4,1,0,0,3,0,1
39663068,4,4,0,0,1,3,0,0
39743040,3,3,0,0,1,2,0,1
39803036,3,3,0,0,1,1,0,0
39823034,3,3,0,0,1,1,0,0
53162396,2,2,0,1,0,0,1,2
53182398,2,2,0,0,0,1,0,1
53242382,2,2,0,0,0,0,0,0
53302384,2,2,0,0,0,1,0,1
53322372,2,2,0,0,0,0,0,1
53322422,3,4,0,0,0,0,0,0
53342392,2,3,0,0,0,0,0,1
53422396,2,2,0,0,0,0,1,1
53442394,2,2,0,0,0,1,0,0
53462362,2,2,0,0,0,0,1,0
53462368,4,4,0,1,1,0,1,2
53482366,1,0,0,0,0,0,0,0
53482384,2,2,0,0,0,0,0,1
53482412,4,4,0,0,0,0,0,1
53502416,3,3,0,0,0,0,0,1
53542386,4,3,0,0,0,1,0,3
53622366,3,3,1,1,0,1,1,2
53662376,2,3,0,0,0,0,0,1
53662388,3,3,0,0,0,0,0,0
53702348,1,1,0,0,0,0,0,0
53702356,3,3,0,0,0,0,0,0
53782342,2,2,0,0,0,0,0,0
53782364,2,2,0,0,0,0,0,0
53782378,2,3,0,0,0,1,0,1
53802330,1,1,0,0,0,0,0,0
53802340,2,2,0,0,0,0,0,1
53802366,1,1,0,0,0,1,0,1
53822386,2,3,0,0,0,0,0,1
53842348,4,4,1,0,0,0,1,1
53882320,1,1,0,1,0,0,1,0
53902362,1,1,0,0,0,0,0,0
53922390,4,4,0,0,0,0,0,0
53942332,2,2,0,0,0,0,0,0
53942344,1,2,0,0,0,0,0,0
53942368,2,2,1,0,0,1,0,1
53982330,2,2,0,1,0,0,1,1
54002332,1,1,0,0,0,0,0,0
54002350,2,3,0,0,0,0,0,1
54062392,4,4,0,0,0,0,0,0
54082368,2,2,0,0,0,1,0,1
54122350,3,3,0,0,0,0,0,1
54122394,4,4,1,0,0,0,0,1
54142364,1,2,0,0,0,0,0,0
54222336,2,2,0,0,0,0,0,1
54262380,3,3,0,0,0,0,0,1
54322346,2,2,0,0,0,1,0,0
54322396,4,4,1,0,0,0,0,1
54402326,2,2,0,0,0,0,1,1
54402350,2,2,0,0,0,0,0,1
54422324,1,1,0,0,0,0,0,0
54422352,2,2,0,0,0,0,0,0
54442340,1,1,0,0,0,1,0,0
54462372,2,2,0,0,0,0,0,1
54482326,4,4,0,0,1,0,0,0
54482368,3,3,0,0,0,1,0,1
54542344,4,4,1,1,1,0,1,1
54582368,3,3,0,0,0,0,0,1
54642318,3,3,0,0,0,0,0,0
54642324,3,3,0,1,0,0,1,1
54642354,3,3,0,0,0,0,0,1
54662326,1,1,0,0,0,0,0,0
54662362,2,3,0,0,0,0,0,1
54662380,4,4,1,0,0,0,1,1
54662386,4,4,0,0,1,0,0,1
54722380,4,4,0,0,0,0,0,1
54722390,4,4,1,0,0,0,0,1
54782320,3,3,0,0,0,0,1,0
54782356,2,2,0,0,0,0,0,1
54782370,3,3,0,0,0,0,0,1
54782392,4,4,0,0,0,0,0,1
54782396,4,4,0,0,2,0,0,0
54802332,2,2,0,0,0,0,1,0
54822324,2,2,0,0,0,0,0,1
54842358,3,3,0,0,0,0,0,1
54862378,4,4,0,0,1,0,0,1
54882406,4,4,0,0,1,0,0,0
54902344,2,2,0,0,0,0,0,0
54902386,4,4,0,0,1,0,0,0
54902398,4,4,0,0,1,0,0,0
54922334,2,2,0,0,0,0,0,0
55002378,2,3,0,0,0,0,0,0
55062358,2,2,0,0,0,0,0,0
55102340,4,4,0,0,3,0,0,1
55102384,4,4,0,0,0,0,0,1
55142320,3,3,0,0,0,0,1,1
55142348,3,3,0,0,0,3,0,2
55162404,4,4,0,0,2,0,0,0
55182336,1,1,0,0,0,0,0,0
55182378,3,4,0,0,0,0,0,1
55182408,4,4,0,0,1,0,0,0
55202358,2,2,0,0,0,1,0,1
55242334,1,1,0,0,0,0,1,0
55262344,4,4,0,0,0,0,0,1
55262350,3,4,0,1,0,0,1,1
55282384,4,4,1,0,1,0,0,1
55282406,4,4,0,0,0,1,0,1
55302354,1,2,0,0,0,1,0,1
55322388,4,4,0,0,1,0,0,0
55362364,2,3,0,0,0,0,0,0
55362396,4,4,1,0,1,0,0,0
55342340,2,2,0,0,0,0,1,1
55362346,2,2,0,0,0,1,0,1
55382340,4,4,0,0,0,1,1,1
55402328,3,4,0,0,0,1,1,1
55462330,1,2,0,0,0,0,1,1
55462394,4,4,1,0,0,0,0,1
55482336,2,3,0,0,0,0,0,0
55482404,4,4,1,0,2,1,0,1
55542396,4,4,0,0,0,0,0,1
55562326,2,2,0,0,0,0,0,0
55562340,2,2,0,1,0,0,1,1
55562362,3,3,0,0,0,0,0,1
55562404,4,4,0,0,0,0,0,1
55602316,2,2,0,0,0,0,0,0
55622354,4,4,0,0,0,0,0,1
55622372,3,3,0,0,0,0,0,1
55662404,4,4,0,0,2,0,0,0
