pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
47322694,0,4,0,2,3,4,4,1
47322744,3,1,4,2,0,1,4,1
47342710,1,1,4,4,3,1,2,1
47362636,0,4,0,4,0,1,2,1
47382700,1,1,2,0,3,1,2,1
47402702,0,4,0,4,0,1,2,1
47402716,0,4,2,2,3,4,4,1
47422704,4,0,4,4,0,4,4,0
47442660,2,1,0,0,0,1,0,1
47442674,1,1,2,0,0,4,2,0
47442702,2,2,2,0,0,1,2,1
47462636,4,0,0,4,0,1,2,1
47462692,2,0,0,0,0,1,0,1
47462712,2,2,4,4,3,4,4,1
47462736,2,2,4,4,0,4,2,1
47462746,0,4,0,2,0,1,4,1
47482734,1,1,3,1,0,1,1,1
47482742,4,4,4,1,3,4,1,0
47502700,1,2,2,0,0,4,2,1
47522704,2,0,4,0,0,1,2,1
47522710,0,4,2,2,0,4,4,1
47522738,1,1,0,0,3,1,2,1
47542736,0,4,2,1,0,4,1,0
47562650,2,2,0,0,0,1,0,0
47562664,1,2,2,0,0,1,2,1
47562696,1,2,4,4,0,4,2,1
47562706,0,4,2,2,3,1,2,1
47562710,0,4,2,2,3,4,4,1
47562732,4,4,4,4,0,4,4,1
47582644,2,2,0,0,0,1,0,1
47582730,1,1,3,4,2,4,4,1
47622700,2,2,2,4,0,1,2,1
47622718,2,2,0,0,0,1,2,1
47642668,1,2,4,0,0,2,0,0
47642682,1,1,2,0,0,4,0,1
47642704,1,1,4,4,3,1,2,1
47642728,0,4,2,2,0,4,1,0
47662652,1,3,2,0,3,4,2,1
47662698,2,2,2,0,0,0,0,0
47682646,1,1,0,0,0,0,2,0
47682690,0,4,2,4,3,1,2,1
47702678,2,2,2,0,0,4,0,1
47702714,2,0,2,4,0,1,2,1
47702722,0,4,4,4,3,4,2,1
47722698,2,0,3,0,3,0,2,0
47742642,1,2,0,0,0,4,0,1
47742660,4,0,0,0,0,1,0,0
47742674,4,4,0,0,3,1,0,1
47742710,1,1,2,0,0,1,0,1
47742728,0,4,0,2,3,1,2,1
47762666,3,3,0,0,3,1,0,1
47782686,1,1,2,0,0,0,0,0
47802696,0,4,0,4,0,1,2,1
47842680,2,2,2,0,0,0,0,1
47842688,2,0,2,0,0,1,2,1
27182008,1,1,2,0,3,1,0,0
27361846,3,3,0,0,3,1,0,0
27461842,1,1,0,0,2,0,0,1
27842206,4,4,0,4,2,1,2,1
28322234,4,0,0,4,2,1,2,1
28382160,4,4,0,0,2,4,0,1
28502212,4,0,0,4,2,1,0,1
28661894,2,2,0,0,3,1,0,1
28722000,2,2,0,0,3,1,0,1
45542782,0,4,0,4,3,0,2,1
45542800,3,3,2,0,3,4,0,1
45602780,0,4,2,1,3,0,1,0
